"STFIPS","YEAR","statename","Nad","Nyy","Noy","Nadcj","Nyycj","Noycj"
50,2017,"Vermont",286,156,140,50,68,63
50,2018,"Vermont",271,114,138,31,43,48
50,2019,"Vermont",178,104,106,13,26,42
50,2020,"Vermont",47,43,58,9,15,14
51,2008,"Virginia",1407,1054,1251,630,581,652
51,2009,"Virginia",1450,1044,1244,651,622,711
51,2010,"Virginia",1320,941,1156,586,595,689
51,2011,"Virginia",1556,988,1182,580,580,699
51,2012,"Virginia",1515,911,1165,737,498,649
51,2013,"Virginia",1163,787,1076,607,466,585
51,2014,"Virginia",962,754,1041,547,433,596
51,2015,"Virginia",831,615,805,438,332,445
51,2016,"Virginia",671,542,781,335,285,397
51,2017,"Virginia",681,536,700,322,282,353
51,2018,"Virginia",525,512,731,251,274,356
51,2019,"Virginia",484,486,718,219,280,347
51,2020,"Virginia",276,291,515,80,104,226
53,2008,"Washington",3744,1010,977,1788,607,635
53,2009,"Washington",3913,1031,1043,1759,620,602
53,2010,"Washington",3986,1022,931,1572,581,535
53,2011,"Washington",4285,1018,845,1511,543,473
53,2012,"Washington",4110,791,779,1560,395,459
53,2013,"Washington",3953,670,707,1474,371,395
53,2014,"Washington",3595,584,663,1349,311,410
53,2015,"Washington",3056,596,587,1247,340,357
53,2016,"Washington",4275,995,1501,736,327,430
53,2017,"Washington",2370,875,928,417,271,206
54,2008,"West Virginia",452,232,322,86,43,65
54,2009,"West Virginia",253,145,190,42,31,37
54,2010,"West Virginia",114,79,72,22,16,8
54,2011,"West Virginia",81,43,55,6,4,4
54,2013,"West Virginia",78,31,45,5,NA,1
54,2014,"West Virginia",92,51,65,27,7,8
54,2015,"West Virginia",77,46,58,17,11,9
54,2016,"West Virginia",64,47,71,1,NA,NA
54,2017,"West Virginia",37,41,49,NA,NA,NA
54,2018,"West Virginia",19,18,39,5,5,12
54,2019,"West Virginia",3,16,26,NA,11,11
54,2020,"West Virginia",NA,7,12,NA,4,3
55,2008,"Wisconsin",366,512,536,100,338,345
55,2009,"Wisconsin",269,501,621,51,339,410
55,2010,"Wisconsin",279,455,626,71,312,439
55,2011,"Wisconsin",294,417,592,44,279,403
55,2012,"Wisconsin",353,380,480,68,252,313
55,2013,"Wisconsin",345,368,565,76,242,365
55,2014,"Wisconsin",291,260,401,75,180,290
55,2015,"Wisconsin",282,217,315,70,140,213
55,2016,"Wisconsin",304,240,347,76,135,219
55,2017,"Wisconsin",275,234,404,73,145,225
55,2018,"Wisconsin",264,317,393,83,194,256
55,2019,"Wisconsin",259,214,435,50,139,277
55,2020,"Wisconsin",182,129,234,49,78,146
56,2008,"Wyoming",322,170,152,126,118,95
56,2009,"Wyoming",310,196,183,147,135,130
56,2010,"Wyoming",250,206,159,123,145,127
56,2011,"Wyoming",308,224,162,167,170,111
56,2012,"Wyoming",275,218,177,172,161,118
56,2013,"Wyoming",260,205,181,174,153,122
56,2014,"Wyoming",246,166,184,125,112,121
56,2015,"Wyoming",236,172,155,144,131,111
56,2016,"Wyoming",182,164,183,104,116,123
56,2017,"Wyoming",166,146,130,102,87,90
56,2018,"Wyoming",153,133,156,77,74,98
56,2019,"Wyoming",159,119,123,86,62,79
56,2020,"Wyoming",77,59,84,40,37,52
